descripcion,id,titular
No actúa desde la victoria de los amarillos 2-1 ante Bolívar en la Copa Libertadores.,[0],"Javier Burrai vuelve a ser convocado en Barcelona, pero su titularidad es una incógnita"
La selección ecuatoriana cumple la última semana de preparación de cara a la cita en Argentina. El combinado alista sus dos últimos juegos de fogueo.,[1],"La mini-Tri, a ‘darlo todo’ en el Mundial Sub-20"
"El exvolante falleció el viernes. Fue campeón en el primer torneo nacional de la historia, brilló en Barcelona y tiene un par de récords en la Tri.",[2],"Rómulo Gómez, al que George Capwell le dio un manazo y le regaló un reloj, pone de luto a Emelec y al fútbol de Ecuador"
No actúa desde la victoria de los amarillos 2-1 ante Bolívar en la Copa Libertadores.,[3],"Javier Burrai vuelve a ser convocado en Barcelona, pero su titularidad es una incógnita"
"Ocho etapas corridas, con ocho ganadores distintos de igual número de escuadras, contrario a la clasificación general, que mantiene líder a Andreas Leknessund.",[4],"Equipos alternan triunfos en el Giro de Italia; la octava etapa fue para Ben Healey, compañero de Alexander Cepeda y Jonathan Caicedo en el EF Education-EasyPost"
"El seleccionador de Ecuador se reunió con los jugadores del Brighton & Hove Albion y este domingo estará en el partido ante el Arsenal, por la Premier League.",[5],"Inglaterra, primera parada de Félix Sánchez Bas en su gira europea"
"Los del Ponchito cayeron 3-0 ante Deportivo Cuenca. El AT Fabián Torres denunció insultos de parte del equipo arbitral, e hizo una reveladora acusación.",[6],Mushuc Runa denuncia perjuicio arbitral como represalia al presidente Luis Alfonso Chango
El Brighton visita al Arsenal por la jornada 36 de la Premier League. Moisés Caicedo y Pervis Estupiñán se perfilan para ser titulares ante los gunners.,[7],"Arsenal FC vs. Brighton: canales de TV, horarios y ‘streaming’ para ver en vivo a Moisés Caicedo y Pervis Estupiñán en la Premier League"
La selección ecuatoriana cumple la última semana de preparación de cara a la cita en Argentina. El combinado alista sus dos últimos juegos de fogueo.,[8],"La mini-Tri, a ‘darlo todo’ en el Mundial Sub-20"
"(Video) El 'Bolillo' lamentó que en su escuadra, que no pasa por un buen momento, se hayan dado estos hechos.",[9],"Hernán Darío Gómez, extécnico de Ecuador, y la dura crítica a los actos de indisciplina en su club: ‘Somos una risa, Junior no puede ser un meme’"
(Video) El exfutbolista dijo sentir 'tristeza' por la posición actual de los eléctricos en la Liga Pro.,[10],Marcelo 'Pepo' Morales: ‘A Barcelona SC y Emelec les están faltando al respeto
Resolución del TAS manchó a nuestro fútbol a nivel internacional. Hay argumentos para que el Tribunal Federal Suizo anule los castigos.,[11],Última carta de FEF sobre Byron Castillo
N/A,[12],Última carta de FEF sobre Byron Castillo
N/A,[13],"¿Damián Díaz y su velocidad de carreta en la Selección? ¡Llamen a Kendry Páez, el futuro del fútbol de Ecuador!"
N/A,[14],La ruina de los clubes
N/A,[15],"Mi encuentro con la historia, hace 60 años"
N/A,[16],La Copa de antes y la de ahora
N/A,[17],"Javier Burrai vuelve a ser convocado en Barcelona, pero su titularidad es una incógnita"
N/A,[18],Marcelo 'Pepo' Morales: ‘A Barcelona SC y Emelec les están faltando al respeto
N/A,[19],"Libertad FC vs. Barcelona SC: canales de TV, horarios y ‘streaming’ para ver en vivo la fecha 10 de la Liga Pro Serie A"
N/A,[20],Instan a funcionarios de Barcelona a no utilizar las plataformas del club para ser candidatos en las elecciones del 2023
N/A,[21],"Alexander Alvarado y la caída de Liga de Quito ante Barcelona SC: 'en el camerino hubo un momento tenso por perder el invicto, fue un golpe duro’"
N/A,[22],Marcelo 'Pepo' Morales: ‘A Barcelona SC y Emelec les están faltando al respeto
N/A,[23],"Secretario técnico de Emelec desmiente contrataciones de ‘un 8 extranjero’, ‘un 9 nacional’ y ‘un 5′ para la fase 2 de la Liga Pro"
N/A,[24],Emelec vs. Liga de Quito se jugará sin hinchada visitante en el estadio Capwell
N/A,[25],Así marcha la tabla de posiciones antes del inicio de la fecha 10 de la Liga Pro Serie A
N/A,[26],"En Liga de Quito no se resignan a perder la etapa de la Liga Pro: ‘No damos por perdido nada, esperamos tropiezos de los rivales’ "
N/A,[27],"Alexander Alvarado y la caída de Liga de Quito ante Barcelona SC: 'en el camerino hubo un momento tenso por perder el invicto, fue un golpe duro’"
N/A,[28],"Luis Zubeldía: Emelec es un equipo grande que no viene bien, pero los dos llegamos con urgencia de sumar"
N/A,[29],Emelec vs. Liga de Quito se jugará sin hinchada visitante en el estadio Capwell
N/A,[30],"Aquiles Álvarez: A pesar de que ganamos en el 2020 y dimos la vuelta en Casa Blanca, con Bustos Barcelona apagó el tema ganando en 130 minutos"
N/A,[31],"En Liga de Quito no se resignan a perder la etapa de la Liga Pro: ‘No damos por perdido nada, esperamos tropiezos de los rivales’ "
